STATIONS_ID	NAME	FEDERAL_STATE
00001	Aach	Baden-Württemberg
00003	Aachen	Nordrhein-Westfalen
00011	Donaueschingen (Landeplatz)	Baden-Württemberg
00044	Großenkneten	Niedersachsen
00052	Ahrensburg-Wulfsdorf	Schleswig-Holstein
00061	Aiterhofen	Bayern
00070	Albstadt-Ebingen	Baden-Württemberg
00071	Albstadt-Badkap	Baden-Württemberg
00072	Albstadt-Onstmettingen	Baden-Württemberg
00073	Aldersbach-Kramersepp	Bayern
00078	Alfhausen	Niedersachsen
00090	Alsfeld	Hessen
00091	Alsfeld-Eifa	Hessen
00093	Alsfeld-Reibertenrod	Hessen
00096	Neuruppin-Alt Ruppin	Brandenburg
00098	Altastenberg	Nordrhein-Westfalen
00102	Leuchtturm Alte Weser	Niedersachsen
00106	Altenau	Niedersachsen
00116	Altenburg	Thüringen
00125	Altenstadt	Bayern
00126	Uffenheim (Schulstr.)	Bayern
00129	Altentreptow	Mecklenburg-Vorpommern
00131	Geringswalde-Altgeringswalde	Sachsen
00132	Altglashütte	Bayern
00142	Altomünster-Maisbrunn	Bayern
00150	Alzey	Rheinland-Pfalz
00151	Amberg-Unterammersricht	Bayern
00154	Amerang-Pfaffing	Bayern
00161	Andernach	Rheinland-Pfalz
00164	Angermünde	Brandenburg
00167	Anklam	Mecklenburg-Vorpommern
00169	Annaberg-Buchholz	Sachsen
00172	Annaturm	Niedersachsen
00174	Annweiler-Bindersbach	Rheinland-Pfalz
00175	Ansbach	Bayern
00176	Ansbach-Claffheim	Bayern
00177	Ansbach-Hennenbach	Bayern
00181	Arendsee	Sachsen-Anhalt
00183	Arkona	Mecklenburg-Vorpommern
00184	Arneburg	Sachsen-Anhalt
00185	Arnis	Schleswig-Holstein
00186	Arnsberg	Nordrhein-Westfalen
00191	Arnstein-Müdesheim	Bayern
00193	Arolsen-Neu Berich	Hessen
00197	Arolsen-Volkhardinghausen, Bad	Hessen
00198	Artern	Thüringen
00202	Aschaffenburg	Bayern
00207	Aschersleben	Sachsen-Anhalt
00211	Aßlar Klein-Altenstädten	Hessen
00217	Attenkam	Bayern
00221	Au i.d.Hallertau-Günzenhausen	Bayern
00222	Aue	Sachsen
00231	Augsburg (Sankt Stephan)	Bayern
00232	Augsburg	Bayern
00243	Aurich	Niedersachsen
00257	Baden-Baden-Geroldsau	Baden-Württemberg
00259	Müllheim	Baden-Württemberg
00268	Baiersbronn-Obertal	Baden-Württemberg
00273	Baindt	Baden-Württemberg
00282	Bamberg	Bayern
00283	Bamberg-Altenburg	Bayern
00284	Bamberg (Sternwarte)	Bayern
00288	Bargischow-Gnevezin	Mecklenburg-Vorpommern
00294	Barsinghausen-Hohenbostel	Niedersachsen
00298	Barth	Mecklenburg-Vorpommern
00303	Baruth	Brandenburg
00314	Kubschütz, Kr. Bautzen	Sachsen
00320	Heinersreuth-Vollhof	Bayern
00321	Bayrischzell	Bayern
00326	Beckum-Unterberg	Nordrhein-Westfalen
