STATIONS_ID	DAY	TEMPERATURE_AVERAGE
96	20190410	4.4
96	20190411	3.6
96	20190412	3.2
96	20190413	4.1
96	20190414	5.6
96	20190415	7.1
96	20190416	7.9
96	20190417	10.8
96	20190418	13.5
96	20190419	14.4
96	20190420	12.3
96	20190421	13.6
96	20190422	12.7
96	20190423	14.5
96	20190424	17.0
96	20190425	17.5
96	20190426	17.6
96	20190427	12.3
96	20190428	9.4
96	20190429	10.4
96	20190430	12.3
96	20190501	12.0
96	20190502	9.6
96	20190503	7.6
96	20190504	5.7
96	20190505	6.8
96	20190506	7.3
96	20190507	7.8
96	20190508	10.8
96	20190509	12.6
96	20190510	11.1
96	20190511	9.9
96	20190512	11.0
96	20190513	10.0
96	20190514	8.8
96	20190515	9.4
96	20190516	9.3
96	20190517	14.2
96	20190518	17.3
96	20190519	18.4
96	20190520	17.8
96	20190521	18.2
96	20190522	12.8
96	20190523	13.3
96	20190524	16.8
96	20190525	12.9
96	20190526	15.5
96	20190527	17.5
96	20190528	14.2
96	20190529	11.4
96	20190530	14.7
96	20190531	18.1
96	20190601	20.3
96	20190602	22.7
96	20190603	24.5
96	20190604	23.2
96	20190605	26.0
96	20190606	21.4
96	20190607	19.0
96	20190608	17.7
96	20190609	18.6
96	20190610	20.0
96	20190611	22.8
96	20190612	21.2
96	20190613	19.3
96	20190614	22.1
96	20190615	23.8
96	20190616	18.5
96	20190617	21.1
96	20190618	23.1
96	20190619	24.8
96	20190620	21.2
96	20190621	19.3
96	20190622	19.4
96	20190623	20.5
96	20190624	22.5
96	20190625	25.5
96	20190626	27.0
96	20190627	18.6
96	20190628	17.5
96	20190629	21.4
96	20190630	26.8
96	20190701	21.3
96	20190702	16.6
96	20190703	14.8
96	20190704	16.4
96	20190705	16.9
96	20190706	16.3
96	20190707	14.1
96	20190708	13.9
96	20190709	14.0
96	20190710	16.1
96	20190711	18.2
96	20190712	17.0
96	20190713	19.9
96	20190714	16.9
96	20190715	15.1
96	20190716	16.9
96	20190717	16.6
96	20190718	19.9
96	20190719	19.7
96	20190720	21.6
96	20190721	20.6
96	20190722	18.0
96	20190723	23.2
96	20190724	24.7
96	20190725	25.4
96	20190726	23.6
96	20190727	22.6
96	20190728	24.3
96	20190729	24.0
96	20190730	22.1
96	20190731	19.6
96	20190801	18.5
96	20190802	17.5
96	20190803	19.3
96	20190804	18.2
96	20190805	18.7
96	20190806	20.2
96	20190807	19.0
96	20190808	18.5
96	20190809	19.9
96	20190810	22.6
96	20190811	21.2
96	20190812	19.6
96	20190813	16.7
96	20190814	15.4
96	20190815	16.0
96	20190816	17.1
96	20190817	19.1
96	20190818	19.7
96	20190819	17.5
96	20190820	17.2
96	20190821	16.8
96	20190822	18.0
96	20190823	19.7
96	20190824	21.7
96	20190825	24.3
96	20190826	24.1
96	20190827	24.7
96	20190828	24.8
96	20190829	23.0
96	20190830	23.1
96	20190831	25.7
96	20190901	22.2
96	20190902	15.8
96	20190903	14.1
96	20190904	18.2
96	20190905	16.0
96	20190906	13.5
96	20190907	13.5
96	20190908	15.0
96	20190909	13.3
96	20190910	14.8
96	20190911	15.1
96	20190912	16.8
96	20190913	15.6
96	20190914	12.1
96	20190915	14.8
96	20190916	13.7
96	20190917	11.2
96	20190918	10.8
96	20190919	10.1
96	20190920	11.1
96	20190921	14.5
96	20190922	15.2
96	20190923	15.7
96	20190924	14.2
96	20190925	13.7
96	20190926	14.3
96	20190927	14.2
96	20190928	14.0
96	20190929	14.1
96	20190930	13.9
96	20191001	12.8
96	20191002	9.8
96	20191003	9.3
96	20191004	8.0
96	20191005	8.4
96	20191006	5.4
96	20191007	5.3
96	20191008	9.7
96	20191009	11.5
96	20191010	10.6
96	20191011	12.8
96	20191012	15.6
96	20191013	16.3
96	20191014	17.4
96	20191015	14.8
96	20191016	11.3
96	20191017	13.4
96	20191018	13.6
96	20191019	11.3
96	20191020	13.8
96	20191021	13.8
96	20191022	11.3
96	20191023	10.0
96	20191024	12.8
96	20191025	12.3
96	20191026	13.4
96	20191027	11.3
96	20191028	7.8
96	20191029	4.4
96	20191030	1.6
96	20191031	0.1
96	20191101	2.1
96	20191102	10.0
96	20191103	11.1
96	20191104	9.7
96	20191105	8.8
96	20191106	7.7
96	20191107	7.1
96	20191108	6.3
96	20191109	6.6
96	20191110	3.3
96	20191111	2.1
96	20191112	3.5
96	20191113	3.6
96	20191114	4.6
96	20191115	6.3
96	20191116	5.6
96	20191117	3.0
96	20191118	7.2
96	20191119	5.7
96	20191120	4.9
96	20191121	7.6
96	20191122	8.1
96	20191123	5.5
96	20191124	4.4
96	20191125	3.9
96	20191126	5.3
96	20191127	6.6
96	20191128	9.4
96	20191129	4.6
96	20191130	0.9
96	20191201	1.0
96	20191202	2.7
96	20191203	1.7
96	20191204	3.5
96	20191205	-0.1
96	20191206	2.0
96	20191207	7.3
96	20191208	8.0
96	20191209	6.1
96	20191210	2.3
96	20191211	2.3
96	20191212	1.8
96	20191213	0.6
96	20191214	2.7
96	20191215	4.9
96	20191216	4.7
96	20191217	7.0
96	20191218	7.6
96	20191219	3.8
96	20191220	5.5
96	20191221	5.7
96	20191222	1.7
96	20191223	6.1
96	20191224	5.6
96	20191225	4.9
96	20191226	4.4
96	20191227	2.2
96	20191228	0.0
96	20191229	-1.0
96	20191230	3.8
96	20191231	5.6
96	20200101	1.4
96	20200102	-0.9
96	20200103	4.0
96	20200104	3.8
96	20200105	0.8
96	20200106	4.2
96	20200107	2.4
96	20200108	6.3
96	20200109	8.3
96	20200110	8.7
96	20200111	4.1
96	20200112	4.0
96	20200113	4.8
96	20200114	6.4
96	20200115	9.9
96	20200116	5.5
96	20200117	4.0
96	20200118	5.1
96	20200119	3.4
96	20200120	0.5
96	20200121	2.1
96	20200122	3.9
96	20200123	2.6
96	20200124	0.4
96	20200125	1.4
96	20200126	0.0
96	20200127	3.4
96	20200128	5.3
96	20200129	4.5
96	20200130	5.2
96	20200131	9.3
96	20200201	10.6
96	20200202	6.5
96	20200203	6.7
96	20200204	4.5
96	20200205	3.3
96	20200206	4.6
96	20200207	5.6
96	20200208	4.5
96	20200209	8.8
96	20200210	6.5
96	20200211	4.5
96	20200212	4.1
96	20200213	3.0
96	20200214	3.1
96	20200215	5.0
96	20200216	11.1
96	20200217	8.6
96	20200218	6.2
96	20200219	5.0
96	20200220	4.1
96	20200221	5.6
96	20200222	8.2
96	20200223	6.0
96	20200224	4.8
96	20200225	7.4
96	20200226	3.1
96	20200227	2.5
96	20200228	3.2
96	20200229	6.5
96	20200301	6.1
96	20200302	5.7
96	20200303	3.7
96	20200304	3.1
96	20200305	4.5
96	20200306	3.9
96	20200307	3.6
96	20200308	4.3
96	20200309	7.1
96	20200310	5.9
96	20200311	9.2
96	20200312	8.9
96	20200313	5.4
96	20200314	2.7
96	20200315	5.6
96	20200316	8.2
96	20200317	7.9
96	20200318	10.8
96	20200319	9.1
96	20200320	6.8
96	20200321	3.1
96	20200322	1.4
96	20200323	0.5
96	20200324	1.5
96	20200325	3.0
96	20200326	5.0
96	20200327	8.5
96	20200328	7.6
96	20200329	2.5
96	20200330	-0.5
96	20200331	1.5
96	20200401	3.9
96	20200402	6.7
96	20200403	6.4
96	20200404	5.9
96	20200405	8.5
96	20200406	12.3
96	20200407	11.5
96	20200408	12.5
96	20200409	11.0
96	20200410	7.7
96	20200411	7.5
96	20200412	12.8
96	20200413	7.7
96	20200414	5.8
96	20200415	9.5
96	20200416	11.3
96	20200417	10.7
96	20200418	9.6
96	20200419	8.6
96	20200420	9.5
96	20200421	10.9
96	20200422	11.7
96	20200423	13.4
96	20200424	13.2
96	20200425	10.8
96	20200426	10.4
96	20200427	13.0
96	20200428	14.1
96	20200429	10.8
96	20200430	12.7
96	20200501	11.8
96	20200502	9.5
96	20200503	9.8
96	20200504	8.6
96	20200505	6.8
96	20200506	11.0
96	20200507	11.2
96	20200508	12.6
96	20200509	14.6
96	20200510	17.3
96	20200511	6.9
96	20200512	6.7
96	20200513	9.5
96	20200514	8.7
96	20200515	8.4
96	20200516	11.6
96	20200517	13.7
96	20200518	15.4
96	20200519	14.4
96	20200520	14.0
96	20200521	14.0
96	20200522	16.3
96	20200523	14.8
96	20200524	11.1
96	20200525	11.8
96	20200526	14.1
96	20200527	15.4
96	20200528	14.6
96	20200529	14.2
96	20200530	14.1
96	20200531	15.2
96	20200601	16.8
96	20200602	19.5
96	20200603	18.4
96	20200604	16.6
96	20200605	13.4
96	20200606	12.2
96	20200607	14.1
96	20200608	14.9
96	20200609	16.7
96	20200610	16.4
96	20200611	17.0
96	20200612	19.9
96	20200613	19.9
96	20200614	19.9
96	20200615	19.2
96	20200616	19.7
96	20200617	22.1
96	20200618	20.5
96	20200619	17.0
96	20200620	16.7
96	20200621	17.8
96	20200622	18.6
96	20200623	18.3
96	20200624	20.1
96	20200625	22.2
96	20200626	21.9
96	20200627	23.2
96	20200628	21.2
96	20200629	18.5
96	20200630	17.5
96	20200701	18.0
96	20200702	18.2
96	20200703	18.3
96	20200704	19.4
96	20200705	21.3
96	20200706	16.1
96	20200707	14.8
96	20200708	14.7
96	20200709	15.5
96	20200710	16.1
96	20200711	14.6
96	20200712	14.7
96	20200713	16.8
96	20200714	20.1
96	20200715	15.5
96	20200716	15.1
96	20200717	16.5
96	20200718	20.0
96	20200719	22.6
96	20200720	18.0
96	20200721	16.0
96	20200722	15.7
96	20200723	17.1
96	20200724	18.9
96	20200725	19.3
96	20200726	17.7
96	20200727	19.0
96	20200728	21.1
96	20200729	17.2
96	20200730	17.1
96	20200731	19.0
96	20200801	21.6
96	20200802	19.3
96	20200803	17.8
96	20200804	16.7
96	20200805	19.2
96	20200806	21.9
96	20200807	25.0
96	20200808	27.8
96	20200809	26.3
96	20200810	23.6
96	20200811	24.5
96	20200812	23.9
96	20200813	24.6
96	20200814	23.5
96	20200815	23.9
96	20200816	23.8
96	20200817	24.3
96	20200818	20.4
96	20200819	20.4
96	20200820	23.1
96	20200821	26.0
96	20200822	22.6
96	20200823	19.8
96	20200824	16.9
96	20200825	16.5
96	20200826	16.0
96	20200827	15.8
96	20200828	15.5
96	20200829	16.4
96	20200830	18.0
96	20200831	17.1
96	20200901	14.6
96	20200902	14.9
96	20200903	16.9
96	20200904	17.8
96	20200905	14.4
96	20200906	13.1
96	20200907	13.6
96	20200908	15.6
96	20200909	18.3
96	20200910	13.9
96	20200911	14.7
96	20200912	16.2
96	20200913	16.0
96	20200914	18.8
96	20200915	21.1
96	20200916	20.0
96	20200917	13.4
96	20200918	10.7
96	20200919	12.8
96	20200920	14.5
96	20200921	15.2
96	20200922	16.0
96	20200923	16.4
96	20200924	14.8
96	20200925	12.1
96	20200926	9.9
96	20200927	9.3
96	20200928	12.2
96	20200929	11.8
96	20200930	11.8
96	20201001	12.3
96	20201002	13.7
96	20201003	16.5
96	20201004	12.8
96	20201005	10.0
96	20201006	11.3
96	20201007	11.6
96	20201008	11.7
96	20201009	12.4
96	20201010	9.8
96	20201011	7.5
96	20201012	7.8
96	20201013	7.1
96	20201014	10.0
96	20201015	9.4
96	20201016	8.9
96	20201017	8.9
96	20201018	7.7
96	20201019	7.2
96	20201020	7.7
96	20201021	11.8
96	20201022	15.3
96	20201023	12.0
96	20201024	12.6
96	20201025	12.2
96	20201026	10.2
96	20201027	9.0
96	20201028	9.9
96	20201029	9.4
96	20201030	11.0
96	20201031	13.8
96	20201101	12.5
96	20201102	16.5
96	20201103	10.5
96	20201104	7.8
96	20201105	7.2
96	20201106	9.4
96	20201107	6.7
96	20201108	3.9
96	20201109	5.3
96	20201110	5.1
96	20201111	5.8
96	20201112	7.5
96	20201113	6.5
96	20201114	10.1
96	20201115	9.3
96	20201116	9.5
96	20201117	9.7
96	20201118	10.0
96	20201119	8.2
96	20201120	3.0
96	20201121	3.3
96	20201122	7.1
96	20201123	5.5
96	20201124	3.1
96	20201125	0.8
96	20201126	4.3
96	20201127	4.5
96	20201128	3.1
96	20201129	1.9
96	20201130	1.6
96	20201201	2.6
96	20201202	-0.5
96	20201203	-1.2
96	20201204	0.0
96	20201205	2.4
96	20201206	6.2
96	20201207	5.4
96	20201208	3.2
96	20201209	1.6
96	20201210	-0.7
96	20201211	-0.5
96	20201212	1.1
96	20201213	2.1
96	20201214	5.4
96	20201215	5.5
96	20201216	7.3
96	20201217	5.8
96	20201218	4.5
96	20201219	2.1
96	20201220	3.1
96	20201221	4.2
96	20201222	8.4
96	20201223	5.8
96	20201224	5.9
96	20201225	2.3
96	20201226	0.8
96	20201227	1.5
96	20201228	2.1
96	20201229	1.5
96	20201230	1.7
96	20201231	1.7
96	20210101	1.4
96	20210102	2.1
96	20210103	1.2
96	20210104	0.7
96	20210105	2.0
96	20210106	1.6
96	20210107	0.7
96	20210108	0.8
96	20210109	1.3
96	20210110	0.2
96	20210111	0.8
96	20210112	1.3
96	20210113	1.1
96	20210114	1.2
96	20210115	-0.7
96	20210116	-1.7
96	20210117	-3.2
96	20210118	-1.2
96	20210119	1.7
96	20210120	5.0
