name,theme,product_code,ages,piece_count,vip_points,price,dimension_1,dimension_2,dimension_3,url,date
Cheops-Pyramide,Architecture,21058,18+,1476,1050,139.99,NA,NA,NA,/de-de/product/great-pyramid-of-giza-21058,2022-09-19
Taj Mahal,Architecture,21056,18+,2022,900,119.99,"H: 8"" (20cm)","B: 10"" (23cm)","T: 10"" (23cm)",/de-de/product/taj-mahal-21056,2022-09-19
Das Weiße Haus,Architecture,21054,18+,1483,750,99.99,NA,NA,NA,/de-de/product/the-white-house-21054,2022-09-19
Freiheitsstatue,Architecture,21042,16+,1685,750,99.99,NA,NA,NA,/de-de/product/statue-of-liberty-21042,2022-09-19
Singapur,Architecture,21057,18+,827,450,59.99,NA,NA,NA,/de-de/product/singapore-21057,2022-09-19
New York City,Architecture,21028,12+,598,375,49.99,NA,NA,NA,/de-de/product/new-york-city-21028,2022-09-19
Paris,Architecture,21044,12+,649,375,49.99,NA,NA,NA,/de-de/product/paris-21044,2022-09-19
London,Architecture,21034,12+,468,300,39.99,NA,NA,NA,/de-de/product/london-21034,2022-09-19
Tokio,Architecture,21051,16+,547,450,59.99,NA,NA,NA,/de-de/product/tokyo-21051,2022-09-19
Batman™ vs. Harley Quinn™,Batman™,76220,4+,42,112,14.99,NA,NA,NA,/de-de/product/batman-versus-harley-quinn-76220,2022-09-19
1989 Batwing,DC,76161,18+,2363,1500,199.99,"H: 5"" (11cm)","B: 23"" (58cm)","T: 21"" (52cm)",/de-de/product/1989-batwing-76161,2022-09-19
Batman™ Maske aus dem TV-Klassiker,DC,76238,18+,372,450,59.99,NA,NA,NA,/de-de/product/classic-tv-series-batman-cowl-76238,2022-09-19
LEGO® DC Batman™ – Batmobile™ Tumbler,DC,76240,18+,2049,2025,269.99,NA,NA,NA,/de-de/product/lego-dc-batman-batmobile-tumbler-76240,2022-09-19
Jim Lee Batman™ Kollektion,Batman™,31205,18+,4167,900,119.99,NA,NA,NA,/de-de/product/jim-lee-batman-collection-31205,2022-09-19
BATMANS BATMOBIL™,Technic,42127,10+,1360,750,99.99,NA,NA,NA,/de-de/product/the-batman-batmobile-42127,2022-09-19
Bathöhle™: Duell mit Riddler™,DC,76183,8+,581,525,69.99,NA,NA,NA,/de-de/product/batcave-the-riddler-face-off-76183,2022-09-19
Batmobile™ aus dem TV-Klassiker „Batman™“,DC,76188,7+,345,262,34.99,NA,NA,NA,/de-de/product/batman-classic-tv-series-batmobile-76188,2022-09-19
Batmobile™: Verfolgung des Pinguins™,DC,76181,8+,392,225,29.99,NA,NA,NA,/de-de/product/batmobile-the-penguin-chase-76181,2022-09-19
Batman™,DC,40386,8+,115,90,19.99,NA,NA,NA,/de-de/product/batman-40386,2022-09-19
Joker™,DC,40428,8+,170,90,19.99,NA,NA,NA,/de-de/product/the-joker-40428,2022-09-19
Batman™ & Selina Kyle™: Verfolgungsjagd auf dem Motorrad,DC,76179,6+,149,112,14.99,NA,NA,NA,/de-de/product/batman-selina-kyle-motorcycle-pursuit-76179,2022-09-19
THE LEGO BATMAN MOVIE HARLEY QUINN GEPÄCKANHÄNGER,Batman™,5005296,6+,NA,75,9.99,NA,NA,NA,/de-de/product/lego-batman-movie-hq-luggage-tag-5005296,2022-09-19
THE LEGO® BATMAN MOVIE – GEPÄCKANHÄNGER,Batman™,5005273,6+,NA,75,9.99,NA,NA,NA,/de-de/product/lego-batman-movie-luggage-tag-5005273,2022-09-19
Batman™ Schlüsselanhänger,DC,853951,6+,NA,45,5.99,NA,NA,NA,/de-de/product/batman-keyring-853951,2022-09-19
Batman™ Helm,DC,76182,18+,410,450,59.99,NA,NA,NA,/de-de/product/batman-cowl-76182,2022-09-19
LEGO® DC Batman™ – Batmobile™ Tumbler: Duell mit Scarecrow™,DC,76239,8+,422,300,39.99,"H: 3"" (7cm)","B: 5"" (12cm)","T: 8"" (19cm)",/de-de/product/lego-dc-batman-batmobile-tumbler-scarecrow-showdown-76239,2022-09-19
Batman™ vs. Joker™: Verfolgungsjagd im Batmobil,DC,76180,4+,136,225,29.99,NA,NA,NA,/de-de/product/batman-vs-the-joker-batmobile-chase-76180,2022-09-19
Programmierbares Roboticset,BOOST,17101,7-12,847,1275,169.99,NA,NA,NA,/de-de/product/boost-creative-toolbox-17101,2022-09-19
Hommage an die Spice Girls,BrickHeadz,40548,16+,578,375,49.99,NA,NA,NA,/de-de/product/spice-girls-tribute-40548,2022-09-19
Die Professoren von Hogwarts™,BrickHeadz,40560,10+,601,300,39.99,NA,NA,NA,/de-de/product/professors-of-hogwarts-40560,2022-09-19
"Dagobert Duck, Tick, Trick & Track",BrickHeadz,40477,10+,340,187,24.99,NA,NA,NA,/de-de/product/scrooge-mcduck-huey-dewey-louie-40477,2022-09-19
"Harry, Hermine, Ron & Hagrid™",BrickHeadz,40495,10+,466,187,24.99,NA,NA,NA,/de-de/product/harry-hermione-ron-hagrid-40495,2022-09-19
"Voldemort™, Nagini & Bellatrix",BrickHeadz,40496,10+,344,187,24.99,NA,NA,NA,/de-de/product/voldemort-nagini-bellatrix-40496,2022-09-19
Chip & Chap,BrickHeadz,40550,10+,226,150,19.99,NA,NA,NA,/de-de/product/chip-dale-40550,2022-09-19
FC Barcelona – Go Brick Me,BrickHeadz,40542,10+,530,150,19.99,NA,NA,NA,/de-de/product/fc-barcelona-go-brick-me-40542,2022-09-19
"Gru, Stuart & Otto",BrickHeadz,40420,10+,244,150,19.99,NA,NA,NA,/de-de/product/gru-stuart-and-otto-40420,2022-09-19
Manchester United – Go Brick Me,BrickHeadz,40541,10+,530,150,19.99,NA,NA,NA,/de-de/product/manchester-united-go-brick-me-40541,2022-09-19
Obi-Wan Kenobi™ &amp; Darth Vader™,Star Wars™,40547,10+,260,150,19.99,NA,NA,NA,/de-de/product/obi-wan-kenobi-darth-vader-40547,2022-09-19
Pandas fürs chinesische Neujahrsfest,BrickHeadz,40466,10+,249,150,19.99,NA,NA,NA,/de-de/product/chinese-new-year-pandas-40466,2022-09-19
Road Runner & Wile E. Coyote,BrickHeadz,40559,10+,205,150,19.99,NA,NA,NA,/de-de/product/road-runner-wile-e-coyote-40559,2022-09-19
Woody und Porzellinchen,BrickHeadz,40553,10+,296,150,19.99,NA,NA,NA,/de-de/product/woody-and-bo-peep-40553,2022-09-19
Bernhardiner,BrickHeadz,40543,8+,236,112,14.99,NA,NA,NA,/de-de/product/st-bernard-40543,2022-09-19
Goldfisch,BrickHeadz,40442,8+,186,112,14.99,NA,NA,NA,/de-de/product/goldfish-40442,2022-09-19
Goofy & Pluto,Disney™,40378,10+,214,112,14.99,NA,NA,NA,/de-de/product/goofy-pluto-40378,2022-09-19
Koi,BrickHeadz,40545,8+,203,112,14.99,NA,NA,NA,/de-de/product/koi-fish-40545,2022-09-19
Pets - French Bulldog,BrickHeadz,40544,8+,237,112,14.99,NA,NA,NA,/de-de/product/pets-french-bulldog-40544,2022-09-19
Pudel,BrickHeadz,40546,8+,304,112,14.99,NA,NA,NA,/de-de/product/poodle-40546,2022-09-19
Wellensittich,BrickHeadz,40443,8+,261,112,14.99,NA,NA,NA,/de-de/product/budgie-40443,2022-09-19
Ahsoka Tano™,Star Wars™,40539,10+,164,75,9.99,NA,NA,NA,/de-de/product/ahsoka-tano-40539,2022-09-19
Buzz Lightyear,BrickHeadz,40552,10+,114,75,9.99,NA,NA,NA,/de-de/product/buzz-lightyear-40552,2022-09-19
Daisy Duck,BrickHeadz,40476,10+,110,75,9.99,NA,NA,NA,/de-de/product/daisy-duck-40476,2022-09-19
Donald Duck,Disney™,40377,10+,90,75,9.99,NA,NA,NA,/de-de/product/donald-duck-40377,2022-09-19
Freiheitsstatue,BrickHeadz,40367,10+,153,75,9.99,NA,NA,NA,/de-de/product/lady-liberty-40367,2022-09-19
Löwentänzer,BrickHeadz,40540,10+,239,75,9.99,NA,NA,NA,/de-de/product/lion-dance-guy-40540,2022-09-19
"Belle Bottom, Kevin & Bob",BrickHeadz,40421,10+,309,90,19.99,NA,NA,NA,/de-de/product/belle-bottom-kevin-and-bob-40421,2022-09-19
Der Mandalorianer™ und das Kind,Star Wars™,75317,10+,295,150,19.99,NA,NA,NA,/de-de/product/the-mandalorian-the-child-75317,2022-09-19
Nymphensittich,BrickHeadz,40481,8+,219,67,14.99,NA,NA,NA,/de-de/product/cockatiel-40481,2022-09-19
Braut,BrickHeadz,40383,10+,306,58,12.99,NA,NA,NA,/de-de/product/wedding-bride-40383,2022-09-19
Bräutigam,BrickHeadz,40384,10+,255,58,12.99,NA,NA,NA,/de-de/product/wedding-groom-40384,2022-09-19
Geburtstagsclown,BrickHeadz,40348,10+,150,75,9.99,NA,NA,NA,/de-de/product/birthday-clown-40348,2022-09-19
Feuerwehreinsatz mit Löschtruppe,City,60321,7+,766,750,99.99,NA,NA,NA,/de-de/product/fire-brigade-60321,2022-09-19
Krankenhaus,City,60330,7+,816,750,99.99,NA,NA,NA,/de-de/product/hospital-60330,2022-09-19
Mond-Forschungsbasis,City,60350,7+,786,750,99.99,NA,NA,NA,/de-de/product/lunar-research-base-60350,2022-09-19
Passagierflugzeug,City,60262,6+,669,750,99.99,NA,NA,NA,/de-de/product/passenger-airplane-60262,2022-09-19
Stadtzentrum,City,60292,6+,790,750,99.99,NA,NA,NA,/de-de/product/town-center-60292,2022-09-19
Stuntshow-Arena,City,60295,6+,668,750,99.99,"H: 5"" (11cm)","B: 6"" (14cm)","T: 4"" (9cm)",/de-de/product/stunt-show-arena-60295,2022-09-19
Tierrettungscamp,City,60307,6+,503,750,99.99,NA,NA,NA,/de-de/product/wildlife-rescue-camp-60307,2022-09-19
Tierrettungseinsatz,City,60302,6+,525,675,89.99,NA,NA,NA,/de-de/product/wildlife-rescue-operation-60302,2022-09-19
Bahnhof,City,60335,7+,907,600,79.99,NA,NA,NA,/de-de/product/train-station-60335,2022-09-19
Polizeistation,City,60316,6+,668,487,64.99,NA,NA,NA,/de-de/product/police-station-60316,2022-09-19
Feuerwache,City,60320,6+,540,450,59.99,NA,NA,NA,/de-de/product/fire-station-60320,2022-09-19
Meeresforschungsbasis,City,60265,6+,497,450,59.99,NA,NA,NA,/de-de/product/ocean-exploration-base-60265,2022-09-19
Mobile Feuerwehreinsatzzentrale,City,60282,6+,380,450,59.99,NA,NA,NA,/de-de/product/fire-command-unit-60282,2022-09-19
Mond-Raumstation,City,60349,6+,500,450,59.99,NA,NA,NA,/de-de/product/lunar-space-station-60349,2022-09-19
Schule mit Schulbus,City,60329,6+,433,450,59.99,NA,NA,NA,/de-de/product/school-day-60329,2022-09-19
Stuntshow-Truck,City,60294,6+,420,450,59.99,"H: 7"" (16cm)","B: 19"" (48cm)","T: 3"" (7cm)",/de-de/product/stunt-show-truck-60294,2022-09-19
Supermarkt,City,60347,6+,404,450,59.99,NA,NA,NA,/de-de/product/grocery-store-60347,2022-09-19
Schimpansen-Stuntlooping,City,60338,7+,226,412,54.99,NA,NA,NA,/de-de/product/smashing-chimpanzee-stunt-loop-60338,2022-09-19
Bauernhof mit Tieren,City,60346,4+,230,375,49.99,NA,NA,NA,/de-de/product/barn-farm-animals-60346,2022-09-19
Verfolgungsjagd mit dem Polizeihubschrauber,City,60243,5+,212,225,29.99,NA,NA,NA,/de-de/product/police-helicopter-chase-60243,2022-09-19
Betonmischer,City,60325,4+,85,150,19.99,NA,NA,NA,/de-de/product/cement-mixer-truck-60325,2022-09-19
Eiswagen,City,60253,5+,200,150,19.99,NA,NA,NA,/de-de/product/ice-cream-truck-60253,2022-09-19
Ferien-Wohnmobil,City,60283,5+,190,150,19.99,NA,NA,NA,/de-de/product/holiday-camper-van-60283,2022-09-19
Feuerwehrauto,City,60280,4+,88,150,19.99,NA,NA,NA,/de-de/product/fire-ladder-truck-60280,2022-09-19
Haiangriff-Stuntchallenge,City,60342,5+,122,150,19.99,NA,NA,NA,/de-de/product/the-shark-attack-stunt-challenge-60342,2022-09-19
Hindernis-Stuntchallenge,City,60340,5+,154,150,19.99,NA,NA,NA,/de-de/product/the-blade-stunt-challenge-60340,2022-09-19
Polizei Gefangenentransporter,City,60276,5+,244,150,19.99,NA,NA,NA,/de-de/product/police-prisoner-transport-60276,2022-09-19
Schienen,City,60205,5-12,20,150,19.99,NA,NA,NA,/de-de/product/tracks-60205,2022-09-19
Straßenkreuzung mit Ampeln,City,60304,5+,112,150,19.99,"H: 6"" (13cm)","B: 18"" (44cm)","T: 15"" (38cm)",/de-de/product/road-plates-60304,2022-09-19
Stunt-Wettbewerb,City,60299,5+,73,150,19.99,"H: 10"" (24cm)","B: 9"" (22cm)","T: 5"" (11cm)",/de-de/product/stunt-competition-60299,2022-09-19
Traktor,City,60287,5+,148,150,19.99,NA,NA,NA,/de-de/product/tractor-60287,2022-09-19
Umstoß-Stuntchallenge,City,60341,5+,117,150,19.99,NA,NA,NA,/de-de/product/the-knockdown-stunt-challenge-60341,2022-09-19
Picknick im Park,City,60326,5+,147,112,14.99,NA,NA,NA,/de-de/product/picnic-in-the-park-60326,2022-09-19
Elektroroller mit Ladestation,City,40526,6+,50,97,12.99,NA,NA,NA,/de-de/product/electric-scooters-charging-dock-40526,2022-09-19
Baustellen-LKW,City,60284,4+,58,75,9.99,NA,NA,NA,/de-de/product/roadwork-truck-60284,2022-09-19
Feuerwehrhubschrauber,City,60318,4+,53,75,9.99,NA,NA,NA,/de-de/product/fire-helicopter-60318,2022-09-19
Hühnerstall,City,60344,5+,101,75,9.99,NA,NA,NA,/de-de/product/chicken-henhouse-60344,2022-09-19
Polizeiauto,City,60312,5+,94,75,9.99,NA,NA,NA,/de-de/product/police-car-60312,2022-09-19
Polizeihubschrauber,City,60275,4+,51,75,9.99,NA,NA,NA,/de-de/product/police-helicopter-60275,2022-09-19
Rennauto,City,60322,4+,46,75,9.99,NA,NA,NA,/de-de/product/race-car-60322,2022-09-19
Stuntflugzeug,City,60323,5+,59,75,9.99,NA,NA,NA,/de-de/product/stunt-plane-60323,2022-09-19
Tierrettungs-Quad,City,60300,5+,74,75,9.99,NA,NA,NA,/de-de/product/wildlife-rescue-atv-60300,2022-09-19
Badewannen-Stuntbike,City,60333,5+,14,60,7.99,NA,NA,NA,/de-de/product/bathtub-stunt-bike-60333,2022-09-19
Cruiser-Stuntbike,City,60331,5+,10,60,7.99,NA,NA,NA,/de-de/product/touring-stunt-bike-60331,2022-09-19
Feuer-Stuntbike,City,60311,5+,11,60,7.99,"H: 2"" (3cm)","B: 1"" (2cm)","T: 3"" (6cm)",/de-de/product/fire-stunt-bike-60311,2022-09-19
Maskottchen-Stuntbike,City,60310,5+,10,60,7.99,"H: 2"" (3cm)","B: 1"" (2cm)","T: 3"" (6cm)",/de-de/product/chicken-stunt-bike-60310,2022-09-19
Power-Stuntbike,City,60297,5+,12,60,7.99,"H: 2"" (3cm)","B: 1"" (2cm)","T: 3"" (6cm)",/de-de/product/demolition-stunt-bike-60297,2022-09-19
