name,Hubraum,Zylinder,Gewicht,Jahr,PS,Verbrauch
chevrolet chevelle malibu,5.03,8,1589.39,70,130.0,13.07
buick skylark 320,5.74,8,1675.12,70,165.0,15.68
plymouth satellite,5.21,8,1558.54,70,150.0,13.07
amc rebel sst,4.98,8,1557.18,70,150.0,14.7
ford torino,4.95,8,1564.44,70,140.0,13.84
ford galaxie 500,7.03,8,1969.04,70,198.0,15.68
chevrolet impala,7.44,8,1974.94,70,220.0,16.8
plymouth fury iii,7.21,8,1955.89,70,215.0,16.8
pontiac catalina,7.46,8,2007.14,70,225.0,16.8
amc ambassador dpl,6.39,8,1746.33,70,190.0,15.68
dodge challenger se,6.28,8,1616.15,70,170.0,15.68
plymouth 'cuda 340,5.57,8,1637.01,70,160.0,16.8
chevrolet monte carlo,6.55,8,1705.96,70,150.0,15.68
buick estate wagon (sw),7.46,8,1399.78,70,225.0,16.8
toyota corona mark ii,1.85,4,1075.92,70,95.0,9.8
plymouth duster,3.24,6,1285.03,70,95.0,10.69
amc hornet,3.26,6,1258.26,70,97.0,13.07
ford maverick,3.28,6,1173.44,70,85.0,11.2
datsun pl510,1.59,4,966.15,70,88.0,8.71
volkswagen 1131 deluxe sedan,1.59,4,832.34,70,46.0,9.05
peugeot 504,1.8,4,1212.0,70,87.0,9.41
audi 100 ls,1.75,4,1102.23,70,90.0,9.8
saab 99e,1.7,4,1077.28,70,95.0,9.41
bmw 2002,1.98,4,1013.32,70,113.0,9.05
amc gremlin,3.26,6,1201.11,70,90.0,11.2
ford f250,5.9,8,2093.33,70,215.0,23.52
chevy c20,5.03,8,1984.92,70,200.0,23.52
dodge d200,5.21,8,1987.64,70,210.0,21.38
hi 1200d,4.98,8,2146.4,70,193.0,26.14
datsun pl510,1.59,4,966.15,71,88.0,8.71
chevrolet vega 2300,2.29,4,1026.93,71,90.0,8.4
toyota corona,1.85,4,1010.6,71,95.0,9.41
amc gremlin,3.8,6,1194.76,71,100.0,12.38
plymouth satellite custom,3.69,6,1559.9,71,105.0,14.7
chevrolet chevelle malibu,4.1,6,1510.01,71,100.0,13.84
ford torino 500,4.1,6,1497.76,71,88.0,12.38
amc matador,3.8,6,1491.41,71,100.0,13.07
chevrolet impala,5.74,8,1909.17,71,165.0,16.8
pontiac catalina brougham,6.55,8,2024.83,71,175.0,16.8
ford galaxie 500,5.75,8,1884.22,71,153.0,16.8
plymouth fury iii,5.21,8,1857.91,71,150.0,16.8
dodge monaco (sw),6.28,8,2247.55,71,180.0,19.6
ford country squire (sw),6.55,8,2152.75,71,170.0,18.09
pontiac safari (sw),6.55,8,2331.46,71,175.0,18.09
amc hornet sportabout (sw),4.23,6,1343.54,71,110.0,13.07
chevrolet vega (sw),2.29,4,1092.25,71,72.0,10.69
pontiac firebird,4.1,6,1488.69,71,100.0,12.38
ford mustang,4.1,6,1423.83,71,88.0,13.07
mercury capri 2000,2.0,4,1006.97,71,86.0,10.23
opel 1900,1.9,4,962.98,71,90.0,8.4
peugeot 304,1.29,4,940.75,71,70.0,7.84
fiat 124b,1.44,4,936.67,71,76.0,7.84
toyota corolla 1200,1.16,4,804.22,71,65.0,7.59
datsun 1200,1.18,4,731.64,71,69.0,6.72
volkswagen model 111,1.59,4,831.89,71,60.0,8.71
plymouth cricket,1.49,4,886.77,71,70.0,9.05
toyota corona hardtop,1.85,4,1033.28,72,95.0,9.8
dodge colt hardtop,1.6,4,964.34,72,80.0,9.41
volkswagen type 3,1.59,4,1022.4,72,54.0,10.23
chevrolet vega,2.29,4,1092.25,72,90.0,11.76
ford pinto runabout,2.0,4,1009.7,72,86.0,11.2
chevrolet impala,5.74,8,1938.65,72,165.0,18.09
pontiac catalina,6.55,8,1989.0,72,175.0,16.8
plymouth fury iii,5.21,8,1875.6,72,150.0,15.68
ford galaxie 500,5.75,8,1872.88,72,153.0,16.8
amc ambassador sst,4.98,8,1665.59,72,150.0,13.84
mercury marquis,7.03,8,2101.49,72,208.0,21.38
buick lesabre custom,5.74,8,2042.07,72,155.0,18.09
oldsmobile delta 88 royale,5.74,8,2021.21,72,160.0,19.6
chrysler newport royal,6.55,8,2005.78,72,190.0,18.09
mazda rx2 coupe,1.15,3,1056.87,72,97.0,12.38
amc matador (sw),4.98,8,1765.38,72,150.0,15.68
chevrolet chevelle concours (sw),5.03,8,1858.82,72,130.0,18.09
ford gran torino (sw),4.95,8,1947.72,72,140.0,18.09
plymouth satellite custom (sw),5.21,8,1849.29,72,150.0,16.8
volvo 145e (sw),1.98,4,1330.39,72,112.0,13.07
volkswagen 411 (sw),1.98,4,1138.97,72,76.0,10.69
peugeot 504 (sw),1.97,4,1351.25,72,87.0,11.2
renault 12 (sw),1.57,4,992.91,72,69.0,9.05
ford pinto (sw),2.0,4,1086.35,72,86.0,10.69
datsun 510 (sw),1.59,4,1037.82,72,92.0,8.4
toyouta corona mark ii (sw),1.97,4,1136.7,72,97.0,10.23
dodge colt (sw),1.61,4,981.57,72,80.0,8.4
toyota corolla 1600 (sw),1.59,4,952.54,72,88.0,8.71
buick century 350,5.74,8,1859.73,73,175.0,18.09
amc matador,4.98,8,1665.59,73,150.0,16.8
chevrolet malibu,5.74,8,1808.92,73,145.0,18.09
ford gran torino,4.95,8,1833.42,73,137.0,16.8
dodge coronet custom,5.21,8,1713.22,73,150.0,15.68
mercury marquis brougham,7.03,8,2246.19,73,198.0,19.6
chevrolet caprice classic,6.55,8,2024.83,73,150.0,18.09
ford ltd,5.75,8,1979.02,73,158.0,18.09
plymouth fury gran sedan,5.21,8,1921.87,73,150.0,16.8
chrysler new yorker brougham,7.21,8,2147.76,73,215.0,18.09
buick electra 225 custom,7.46,8,2245.73,73,225.0,19.6
amc ambassador brougham,5.9,8,1733.18,73,175.0,18.09
plymouth valiant,3.69,6,1415.66,73,105.0,13.07
chevrolet nova custom,4.1,6,1486.87,73,100.0,14.7
amc hornet,3.8,6,1335.83,73,100.0,13.07
ford maverick,4.1,6,1370.3,73,88.0,13.07
plymouth duster,3.24,6,1317.23,73,95.0,10.23
volkswagen super beetle,1.59,4,884.5,73,46.0,9.05
chevrolet impala,6.55,8,2266.6,73,150.0,21.38
ford country,6.55,8,2225.32,73,167.0,19.6
plymouth custom suburb,5.9,8,2111.02,73,170.0,18.09
oldsmobile vista cruiser,5.74,8,2040.71,73,180.0,19.6
amc gremlin,3.8,6,1265.07,73,100.0,13.07
toyota carina,1.59,4,1033.74,73,88.0,11.76
chevrolet vega,2.29,4,1089.07,73,72.0,11.2
datsun 610,1.77,4,1079.1,73,94.0,10.69
maxda rx3,1.15,3,963.43,73,90.0,13.07
ford pinto,2.0,4,1047.8,73,85.0,12.38
mercury capri v6,2.54,6,1121.28,73,107.0,11.2
fiat 124 sport coupe,1.61,4,1027.39,73,90.0,9.05
chevrolet monte carlo s,5.74,8,1851.56,73,145.0,15.68
pontiac grand prix,6.55,8,1940.47,73,230.0,14.7
fiat 128,1.11,4,846.86,73,49.0,8.11
opel manta,1.9,4,978.85,73,75.0,9.8
audi 100ls,1.87,4,1171.17,73,91.0,11.76
volvo 144ea,1.98,4,1300.9,73,112.0,12.38
dodge dart custom,5.21,8,1541.76,73,150.0,15.68
saab 99le,1.98,4,1206.55,73,110.0,9.8
toyota mark ii,2.56,6,1273.23,73,122.0,11.76
oldsmobile omega,5.74,8,1661.96,73,180.0,21.38
plymouth duster,3.24,6,1407.04,74,95.0,11.76
amc hornet,3.8,6,1315.87,74,100.0,12.38
chevrolet nova,4.1,6,1513.18,74,100.0,15.68
datsun b210,1.29,4,884.5,74,67.0,7.59
ford pinto,2.0,4,1111.75,74,80.0,9.05
toyota corolla 1200,1.16,4,832.79,74,65.0,7.35
chevrolet vega,2.29,4,1153.03,74,75.0,9.41
chevrolet chevelle malibu classic,4.1,6,1715.03,74,100.0,14.7
amc matador,4.23,6,1647.45,74,110.0,14.7
plymouth satellite sebring,3.69,6,1638.83,74,105.0,13.07
ford gran torino,4.95,8,1878.32,74,140.0,14.7
buick century luxus (sw),5.74,8,2131.43,74,150.0,18.09
dodge coronet custom (sw),5.21,8,2021.66,74,150.0,16.8
ford gran torino (sw),4.95,8,2103.76,74,140.0,16.8
amc matador (sw),4.98,8,1930.94,74,150.0,16.8
audi fox,1.61,4,1006.52,74,83.0,8.11
volkswagen dasher,1.29,4,890.4,74,67.0,9.05
opel manta,1.59,4,1043.26,74,78.0,9.05
toyota corona,1.25,4,747.97,74,52.0,7.59
datsun 710,1.36,4,908.54,74,61.0,7.35
dodge colt,1.47,4,963.88,74,75.0,8.4
fiat 128,1.47,4,956.17,74,75.0,9.8
fiat 124 tc,1.9,4,1018.77,74,75.0,9.05
honda civic,1.97,4,1128.99,74,97.0,9.8
subaru,1.77,4,1084.54,74,93.0,9.05
fiat x1.9,1.29,4,907.18,74,67.0,7.59
plymouth valiant custom,3.69,6,1480.52,75,95.0,12.38
chevrolet nova,4.1,6,1568.97,75,105.0,13.07
mercury monarch,4.1,6,1556.73,75,72.0,15.68
ford maverick,4.1,6,1432.44,75,72.0,15.68
pontiac catalina,6.55,8,2117.37,75,170.0,14.7
chevrolet bel air,5.74,8,2013.95,75,145.0,15.68
plymouth grand fury,5.21,8,2040.26,75,150.0,14.7
ford ltd,5.75,8,2112.38,75,148.0,16.8
buick century,3.79,6,1772.18,75,110.0,13.84
chevroelt chevelle malibu,4.1,6,1767.65,75,105.0,14.7
amc matador,4.23,6,1691.9,75,110.0,15.68
plymouth fury,3.69,6,1716.85,75,95.0,13.07
buick skyhawk,3.79,6,1378.47,75,110.0,11.2
chevrolet monza 2+2,4.29,8,1461.02,75,110.0,11.76
ford mustang ii,4.95,8,1437.43,75,129.0,18.09
toyota corolla,1.59,4,984.75,75,75.0,8.11
ford pinto,2.29,4,1197.03,75,83.0,10.23
amc gremlin,3.8,6,1321.77,75,100.0,11.76
pontiac astro,2.29,4,1175.71,75,78.0,10.23
toyota corona,2.2,4,1225.61,75,96.0,9.8
volkswagen dasher,1.47,4,1008.34,75,71.0,9.41
datsun 710,1.95,4,1154.39,75,97.0,9.8
ford pinto,2.8,6,1353.52,75,97.0,13.07
volkswagen rabbit,1.47,4,878.61,75,70.0,8.11
amc pacer,3.8,6,1456.48,75,90.0,12.38
audi 100ls,1.88,4,1221.98,75,95.0,10.23
peugeot 504,1.97,4,1341.27,75,88.0,10.23
volvo 244dl,1.98,4,1335.83,75,98.0,10.69
saab 99le,1.98,4,1211.54,75,115.0,9.41
honda civic cvcc,1.49,4,814.2,75,53.0,7.13
fiat 131,1.75,4,1117.65,76,86.0,8.4
opel 1900,1.9,4,1006.97,76,81.0,9.41
capri ii,2.29,4,1166.64,76,92.0,9.41
dodge colt,1.61,4,1022.85,76,79.0,9.05
renault 12tl,1.66,4,998.81,76,83.0,8.71
chevrolet chevelle malibu classic,5.0,8,1911.89,76,140.0,13.44
dodge coronet brougham,5.21,8,1900.55,76,150.0,14.7
amc matador,4.98,8,1797.13,76,120.0,15.18
ford gran torino,5.75,8,1911.89,76,152.0,16.22
plymouth valiant,3.69,6,1466.46,76,100.0,10.69
chevrolet nova,4.1,6,1520.89,76,105.0,10.69
ford maverick,3.28,6,1366.22,76,81.0,9.8
amc hornet,3.8,6,1399.33,76,90.0,10.45
chevrolet chevette,1.39,4,923.06,76,52.0,8.11
chevrolet woody,1.61,4,981.57,76,60.0,9.6
vw rabbit,1.47,4,878.61,76,70.0,8.11
honda civic,1.49,4,814.2,76,53.0,7.13
dodge aspen se,3.69,6,1656.06,76,100.0,11.76
ford granada ghia,4.1,6,1621.14,76,78.0,13.07
pontiac ventura sj,4.1,6,1653.34,76,110.0,12.71
amc pacer d/l,4.23,6,1448.32,76,95.0,13.44
volkswagen rabbit,1.59,4,827.81,76,71.0,7.97
datsun b-210,1.39,4,902.65,76,70.0,7.35
toyota corolla,1.59,4,977.49,76,75.0,8.4
ford pinto,2.29,4,1163.46,76,72.0,8.88
volvo 245,2.13,4,1428.81,76,102.0,11.76
plymouth volare premier v8,5.21,8,1787.15,76,150.0,18.09
peugeot 504,1.97,4,1483.25,76,88.0,12.38
toyota mark ii,2.56,6,1329.02,76,108.0,12.38
mercedes-benz 280s,2.75,6,1732.72,76,120.0,14.26
cadillac seville,5.74,8,1986.73,76,180.0,14.26
chevy c10,5.74,8,1839.32,76,145.0,18.09
ford f108,4.95,8,1755.4,76,130.0,18.09
dodge d100,5.21,8,1703.24,76,150.0,18.09
honda accord cvcc,1.61,4,927.6,77,68.0,7.47
